studno,studentname,birthday,degree,major,unitsearned
2009-98012,Benoite Bransgrove,1990-05-11,Bachelor of Science in Electrical Engineering,platea dictumst maecenas,182
2014-14083,Wainwright Michin,1996-10-14,Bachelor of Science in Botany,ut massa,159
1990-68200,Shawn Le Lievre,1992-11-16,Bachelor of Science in Agricultural Engineering,donec odio,148
2001-01801,Eddy Foden,1997-06-11,Bachelor of Science in Agricultural Engineering,felis,167
1990-55649,Bernelle Babbidge,1997-06-17,Bachelor of Science in Home Technology,aenean lectus pellentesque,65
2015-89060,Etta Yateman,1991-11-14,Bachelor of Science in Chemistry,posuere cubilia curae,125
2011-65139,Poppy Cousin,1998-06-17,Bachelor of Science in Math and Science Teaching,in ante vestibulum,155
1993-68200,Mariquilla Severn,1993-10-29,Bachelor of Science in Nutrition,amet turpis,89
2019-31130,Geoffry Casper,1996-10-29,Bachelor of Arts in Philosophy,aliquam convallis nunc,99
2001-82486,Arleen Packham,1990-06-06,Bachelor of Science in Agricultural Education,tristique fusce congue,94
2009-02364,Orel Lewington,1999-08-18,Bachelor of Science in Forestry,sem,39
1993-07799,Cristionna Eldrid,1997-05-01,Bachelor of Science in Agriculture,quis orci nullam,82
2017-07910,Eileen Ors,1992-03-24,Bachelor of Science in Agricultural and Biosystems Engineering,justo,179
2004-41531,Ring Kingscote,1994-01-23,Bachelor of Science in Electrical Engineering,venenatis turpis,4
2016-54504,Olimpia Colbron,1994-06-29,Bachelor of Arts in Sociology,nulla mollis molestie,188
2016-32032,Duffie Jopp,1994-12-31,Bachelor of Science in Chemical Engineering,rutrum at,83
1994-46554,Leslie Gimbart,2000-02-11,Bachelor of Science in Biology,rutrum nulla,139
2012-31842,Warren Passie,1993-04-16,Bachelor of Science in Applied Physics,curae,120
2004-34047,Fielding Glazzard,1996-03-04,Bachelor of Science in Food Technology,mus vivamus vestibulum,163
1998-56475,Reinhold Klein,1994-02-21,Bachelor of Science in Human Ecology,magnis,156
2006-10934,Melba Joddens,1994-09-15,Bachelor of Science in Forestry,aliquam erat volutpat,30
2010-14134,Shanta Musprat,1998-01-10,Bachelor of Science in Agricultural and Biosystems Engineering,imperdiet,129
2019-94912,Yard Backes,1991-07-26,Bachelor of Arts in Communication Arts,posuere cubilia,58
2018-83834,Nestor Yegorev,1999-05-14,Bachelor of Science in Chemical Engineering,vestibulum quam,76
2002-39091,Korie Stansby,2000-09-22,Bachelor of Science in Agribusiness Management,pede,67
2010-49137,Chere Peebles,1994-05-25,Bachelor of Science in Sugar Technology,dapibus nulla,140
2011-76643,Charley Tizard,1992-05-24,Bachelor of Science in Development Communication,aliquet,196
1991-10903,Florida Crigin,1994-02-04,Bachelor of Science in Electrical Engineering,vitae quam suspendisse,133
2015-03959,Mandi Sharkey,1993-08-18,Bachelor of Arts in Sociology,turpis eget elit,199
2012-75817,Giralda Prout,1991-08-31,Bachelor of Science in Nutrition,duis bibendum,146
2016-87073,Cammi Linnane,1999-11-16,Bachelor of Science in Statistics,id,156
2011-21560,Averil Sleford,1993-01-31,Bachelor of Science in Electrical Engineering,nibh,18
2015-21037,Veronique Ingrem,1993-02-27,Bachelor of Science in Agricultural Economics,nibh,123
2017-87078,Justino Rodder,1991-09-25,Bachelor of Science in Human Ecology,vel,62
1996-27960,Abraham Laskey,1992-08-07,Bachelor of Science in Forestry,auctor,52
2004-70467,Derrik Shinefield,1992-03-05,Bachelor of Science in Zoology,nunc vestibulum,112
2005-24846,Eugine Rowaszkiewicz,1994-05-12,Bachelor of Science in Human Ecology,augue vestibulum,174
2018-74102,Wilow Kulver,1992-09-28,Bachelor of Science in Biology,in,200
2013-81083,Randi Jiles,1992-03-05,Bachelor of Arts in Sociology,ipsum integer a,137
2018-59292,Norry Raden,1992-08-18,Bachelor of Science in Electrical Engineering,purus aliquet at,15
2006-96948,Neel Scane,1993-10-26,Bachelor of Science in Chemical Engineering,amet cursus id,106
2007-37629,Astrix Turvie,1992-06-21,Bachelor of Science in Agriculture,aliquam,109
2007-87766,Matteo Plett,1998-05-04,Bachelor of Science in Botany,id massa,138
1991-17279,Gualterio Klimkiewich,2000-08-27,Bachelor of Science in Sugar Technology,dolor sit amet,192
2010-36300,Terence Westwick,1990-08-16,Bachelor of Science in Development Communication,consequat nulla,47
2019-64802,Hasty Traut,1995-04-03,Bachelor of Science in Math and Science Teaching,quis justo,120
1992-67141,Alvie Brisker,1998-08-17,Bachelor of Science in Agricultural Biotechnology,tincidunt eu,102
2009-08712,Carlyle Legrand,1991-12-05,Bachelor of Science in Agricultural Education,morbi a ipsum,88
2013-20553,Bengt Worthy,1994-02-09,Bachelor of Science in Forest Products Engineering,vestibulum,102
1996-33126,Giorgi Cottee,1994-11-15,Bachelor of Science in Agricultural Economics,vitae,113
2009-38890,Berkley Gallahar,1992-11-24,Bachelor of Science in Electrical Engineering,sed accumsan,130
2014-94129,Deonne Stadden,1997-10-06,Bachelor of Science in Agribusiness Management,proin,156
2000-82430,Garrot Housego,1998-09-27,Bachelor of Science in Applied Physics,sodales,14
2001-55418,Janetta Nesbitt,1991-04-26,Bachelor of Science in Agriculture,a suscipit nulla,41
1991-79252,Amber Swanbourne,1990-03-17,Bachelor of Science in Zoology,velit donec diam,167
2019-06464,Carlie Caisley,1999-06-08,Bachelor of Science in Development Communication,velit eu est,53
2018-16138,Cornelle Overington,1998-09-16,Bachelor of Science in Food Technology,etiam justo,15
1997-22678,Matthias Raleston,1990-01-09,Bachelor of Science in Applied Physics,lobortis vel,126
2015-11806,Moises Gerin,1993-02-02,Bachelor of Science in Nutrition,integer,195
2015-12752,Weston Ajean,1992-12-29,Bachelor of Science in Agricultural Business,at nunc commodo,154
2003-83021,Woodie Hawlgarth,1990-07-19,Bachelor of Science in Agricultural Chemistry,justo,9
1995-78935,Tommi Revitt,1991-03-29,Bachelor of Science in Electrical Engineering,pretium iaculis,144
2014-69746,Mallissa Terzza,1998-05-06,Bachelor of Science in Agricultural Economics,donec ut dolor,143
1999-45353,Adelina Kleeman,1992-08-14,Bachelor of Science in Chemical Engineering,eu,119
2013-51296,Anthony Giveen,1996-01-26,Bachelor of Science in Electrical Engineering,erat vestibulum,182
2019-29730,Nowell Howey,1997-02-09,Bachelor of Science in Forest Products Engineering,nisi volutpat eleifend,48
2006-00415,Hermine Grinaugh,1998-06-14,Bachelor of Science in Development Communication,sapien,111
2007-71818,Alisa Calvie,1993-12-10,Bachelor of Science in Home Technology,mi sit amet,38
2013-61505,Nolie Geering,1995-12-17,Bachelor of Science in Nutrition,aliquam quis,200
2016-79182,Janean Bidewel,1999-06-05,Bachelor of Science in Agribusiness Management,justo,43
2013-07759,Orlando Goldring,1999-02-22,Bachelor of Science in Sugar Technology,pede,45
2011-35662,Austen Ladbrooke,1991-09-06,Bachelor of Science in Agricultural and Biosystems Engineering,mattis odio donec,94
2012-02202,Dasi Savary,1996-08-19,Bachelor of Science in Home Technology,elit proin risus,89
2011-38209,Hattie Longbottom,1990-05-28,Bachelor of Science in Nutrition,quis tortor,1
2019-76931,Esta Patman,1996-03-21,Bachelor of Science in Agricultural Education,tincidunt eget tempus,190
2019-57270,Barry Kondratovich,1999-10-03,Bachelor of Science in Industrial Engineering,leo rhoncus sed,175
2003-23094,Herman Vasyuchov,1999-01-13,Bachelor of Science in Agricultural Chemistry,viverra diam,61
2019-75616,Lucille Biddleston,2000-08-07,Bachelor of Science in Civil Engineering,lorem ipsum dolor,180
2007-61744,Leeanne Borles,1993-02-16,Bachelor of Science in Economics,eget,182
2011-55730,Claudianus Theobald,2000-04-21,Bachelor of Science in Economics,libero nullam sit,142
2010-43385,Rosamond Atheis,1999-01-25,Bachelor of Science in Home Technology,semper interdum,102
2018-45311,Celisse O'Nolan,1998-03-01,Bachelor of Science in Math and Science Teaching,nisl,143
2013-16644,Camala Crawforth,1991-04-10,Bachelor of Agriculture,sit,94
2017-38847,Gerry Messent,2000-09-19,Bachelor of Agriculture,vulputate,119
2012-45189,Brunhilde Ternault,1993-08-07,Bachelor of Science in Math and Science Teaching,in congue etiam,195
2012-04810,Kaia Center,1992-04-10,Bachelor of Science in Forest Products Engineering,volutpat,142
1992-67792,Aldin Bruyntjes,1999-10-25,Bachelor of Science in Chemical Engineering,a,158
2019-04036,Joelynn Alesio,1994-11-04,Bachelor of Science in Industrial Engineering,sed,191
2018-64606,Kristopher Longrigg,1993-08-26,Bachelor of Science in Biology,in,185
2019-87349,Douglass Pecey,1993-02-05,Bachelor of Science in Development Communication,feugiat et,34
1993-47182,Ara St. Paul,1991-03-25,Bachelor of Science in Electrical Engineering,quis libero,189
2014-26600,Elicia Mordie,1994-09-13,Bachelor of Science in Chemical Engineering,dui maecenas tristique,5
2006-73308,Troy Merrifield,1997-10-22,Bachelor of Science in Computer Science,nam,61
